article,max_rate,source
"Automobiles, trucks or vans (incl. dune buggies, ATVs, specialty vehicles)",188.98,Item 164 (2026)
"Motorcycles 250cc and over",120.60,Item 164 (2026)
"Tractors & riding mowers, 25 horsepower and over",144.77,Item 164 (2026)
"Tractors & riding mowers, under 25 horsepower",96.38,Item 164 (2026)
"Snowmobiles or riding golf carts",96.38,Item 164 (2026)
"Trailers (utility / pop-up)",108.42,Item 164 (2026)
"Campers, unmounted (designed for pickup trucks)",274.28,Item 164 (2026)
"Campers, mounted on pickup trucks",274.28,Item 164 (2026)
"Pianos & organs, any size (pipe/grand/harpsichord incl.)",122.65,Item 164 (2026)
"Playhouses, tool/utility sheds (over 100 cu ft, set up)",180.70,Item 164 (2026)
"Hot tubs, spas, whirlpools, Jacuzzis (over 100 cu ft, set up)",180.70,Item 164 (2026)
"Satellite dish, 4 ft or less",96.38,Item 164 (2026)
"Satellite dish, over 4 to 8 ft",144.77,Item 164 (2026)
"Satellite dish, over 8 to 12 ft",213.96,Item 164 (2026)
"Satellite dish, over 12 ft",334.55,Item 164 (2026)
