container_description,per_unit,container_sale_price,pack_terrA,pack_terrB,unpack_terrA,unpack_terrB
"DRUM, DISH-PACK (Drum, dish-pack, barrel or other specially designed containers of not less than 5 cubic feet capacity for use in packing glassware, chinaware, bric-a-brac, table lamps or similar fragile articles)",Each,60.35,51.41,45.19,21.51,19.21
"Cartons: Less than 3 cu. ft. (Not less than 200 lb. test)",Each,14.91,12.37,11.00,5.16,4.53
"Cartons: 3 cu. ft. (Not less than 200 lb. test)",Each,22.48,18.71,16.60,7.76,6.89
"Cartons: 4-1/2 cu. ft. (Not less than 200 lb. test)",Each,26.65,22.68,19.77,9.56,8.40
"Cartons: 6 cu. ft (Not less than 200 lb. test)",Each,30.47,25.99,22.76,10.76,9.51
"Cartons: 6-1/2 cu. ft. (Not less than 200 lb. test)",Each,34.79,29.59,26.11,12.44,10.69
"Wardrobe Carton not less than 10 cu. ft. (See Note 8)",Each,33.23,25.18,22.00,10.52,9.39
"Mattress Carton: Crib",Each,15.29,8.76,7.27,3.42,3.04
"Mattress Carton: Not Over 39"" x 75""",Each,25.37,14.36,12.04,5.90,5.22
"Mattress Carton: 39"" x 80""",Each,30.79,14.36,12.44,5.90,5.35
"Mattress Carton: Not Over 54"" x 75""",Each,27.17,14.68,12.99,6.02,5.41
"Mattress Carton: Over 54"" x 75""",Each,44.86,23.74,20.58,9.87,8.62
Mattress Cover (Paper or Plastic),Each,15.90,5.85,5.28,2.50,2.23
"Corrugated Containers (specially designed or constructed for mirrors, paintings, glass or marble tops and similar fragile articles)",Each,52.49,44.75,38.92,18.71,16.60
"Crates (Other than corrugated, specially designed or constructed for mirrors, paintings, glass or marble tops and similar fragile articles) gross measurement of crate","Cu. Ft. or Fraction Thereof (See Note 7)",,20.26,18.02,4.23,3.42
