county,territory,source
Alameda,A,Item 210 (2026)
Alpine,B,Item 210 (2026)
Amador,B,Item 210 (2026)
Butte,B,Item 210 (2026)
Calaveras,B,Item 210 (2026)
Colusa,B,Item 210 (2026)
Contra Costa,A,Item 210 (2026)
Del Norte,B,Item 210 (2026)
El Dorado,B,Item 210 (2026)
Fresno,B,Item 210 (2026)
Glenn,B,Item 210 (2026)
Humboldt,B,Item 210 (2026)
Imperial,B,Item 210 (2026)
Inyo,B,Item 210 (2026)
Kern,B,Item 210 (2026)
Kings,B,Item 210 (2026)
Lake,B,Item 210 (2026)
Lassen,B,Item 210 (2026)
Los Angeles,B,Item 210 (2026)
Madera,B,Item 210 (2026)
Marin,A,Item 210 (2026)
Mariposa,B,Item 210 (2026)
Mendocino,B,Item 210 (2026)
Merced,B,Item 210 (2026)
Modoc,B,Item 210 (2026)
Mono,B,Item 210 (2026)
Monterey,A,Item 210 (2026)
Napa,B,Item 210 (2026)
Nevada,B,Item 210 (2026)
Orange,B,Item 210 (2026)
Placer,B,Item 210 (2026)
Plumas,B,Item 210 (2026)
Riverside,B,Item 210 (2026)
Sacramento,B,Item 210 (2026)
San Benito,B,Item 210 (2026)
San Bernardino,B,Item 210 (2026)
San Diego,B,Item 210 (2026)
San Francisco,A,Item 210 (2026)
San Joaquin,B,Item 210 (2026)
San Luis Obispo,B,Item 210 (2026)
San Mateo,A,Item 210 (2026)
Santa Barbara,B,Item 210 (2026)
Santa Clara,A,Item 210 (2026)
Santa Cruz,A,Item 210 (2026)
Shasta,B,Item 210 (2026)
Sierra,B,Item 210 (2026)
Siskiyou,B,Item 210 (2026)
Solano,B,Item 210 (2026)
Sonoma,A,Item 210 (2026)
Stanislaus,B,Item 210 (2026)
Sutter,B,Item 210 (2026)
Tehama,B,Item 210 (2026)
Trinity,B,Item 210 (2026)
Tulare,B,Item 210 (2026)
Tuolumne,B,Item 210 (2026)
Ventura,B,Item 210 (2026)
Yolo,B,Item 210 (2026)
Yuba,B,Item 210 (2026)
